####################### Meta Data Part #############################
	Column Name	Data Type	Description	Label	Validation Text	Unit
1	EXPEDITION	Numeric	expedition code	#	expedition code, required key field between 1 and 9999	#
2	SITE	Numeric	site, number between 1 and 9999	Site	site, required key field between 1 and 9999	#
3	HOLE	text	hole identifier, A-Z	Hole	hole, required key field '[A-Z]'	#
4	CORE	Numeric	core identifier	Core	core identifier, required field, number between 1 and 9999	#
5	SECTION	Numeric	section number	Section	section number >=0	#
6	SECTION_ID	Numeric	section identifier,	Section	section Identifier, required field #	#
7	SECTION_UNIT	Integer	currrent section-unit	Lithology	# #	#
8	TOP_INTERVAL	Double	distance from top of  section-unit to top of section	Distance To Top Of Section	real value >=0.0	cm
9	BOTTOM_INTERVAL	Double	distance from top of  section-unit to top of section	Bottom To Top Of Section	# #	cm
10	TOP_DEPTH	Double	calculated top depth of section-unit	Calculated Top Depth (mbsf)	real value >=0.0	mbsf
11	TOP_DEPTH_MCD	Double	calculated top depth of section-unit	Calculated Top Depth (mcd)	real value >=0.0	mcd
12	UNIT_CLASS	Text	lithological class of section-unit	Unit Class	text string of maximum 30 characters #	#
13	UNIT_TYPE	Text	lithological type of section-unit	Unit Type	text string of maximum 255 characters #	#
14	UNIT_DESC4	Text	structural comments	Structures	text string of maximum 255 characters #	#
15	TEXTURES	Text	optional description of textures	Textures	text string of maximum 255 characters #	#
16	CONTACT_TOP	Text	top contact type of the current section-unit	Top Contact	text string of maximum 30 characters #	#
17	CONTACT_BOTTOM	Text	bottom contact type of the current section-unit	Bottom Contact	text string of maximum 30 characters #	#
18	VEIN_INTENSITY	Double	vein intensity	vein intensity	real values #	#
19	ALTERATION	Text	grade of alteration	Alteration	required text string of max. 255 characters #	#
20	REMARKS1	Memo	#	Veins Intensity Comments	unlimited text string #	#
21	REMARKS2	Memo	#	Structural Intensity Comments	unlimited text string #	#
22	REMARKS4	Memo	#	Rock Type Comments	# #	#
23	REMARKS5	Memo	#	Alteration Intensity Comments	# #	#
24	ANALYST1	Text	initials of data operator	Geologist1	required text string of max. 5 characters #	#
25	ANALYST2	Text	initials of data operator	Geologist2	required text string of max. 5 characters #	#
26	ANALYST3	Text	initials of data operator	Geologist3	required text string of max. 5 characters #	#
27	GRAINSIZE	Text	optional description of grainsize	Grainsize	text string of maximum 30 characters #	#
28	GRAINSIZE2	Text	optional description of grainsize	Grainsize 2	text string of maximum 30 characters #	#
29	UNIT_DESC5	Text	vein feature comments	Vein Features	text string of maximum 255 characters #	#
30	UNIT_DESC3	Text	alteration comments	Alteration	text string of maximum 255 characters #	#
31	DISCONTINUITIES	Text	optional description of discontinuities	Discontinuities	text string of maximum 30 characters #	#

####################### Data Part #############################

EXPEDITION	SITE	HOLE	CORE	SECTION	SECTION_ID	SECTION_UNIT	TOP_INTERVAL	BOTTOM_INTERVAL	TOP_DEPTH	TOP_DEPTH_MCD	UNIT_CLASS	UNIT_TYPE	UNIT_DESC4	TEXTURES	CONTACT_TOP	CONTACT_BOTTOM	VEIN_INTENSITY	ALTERATION	REMARKS1	REMARKS2	REMARKS4	REMARKS5	ANALYST1	ANALYST2	ANALYST3	GRAINSIZE	GRAINSIZE2	UNIT_DESC5	UNIT_DESC3	DISCONTINUITIES
5057	5	B	1	1	3109380	1	0		0	0	UND	Other	NN	Brecciated	Other	Disrupted by drilling	4	>90%	microcrystalline carbonate visible on vein surfaces.	clasts are 90% angular and 10% rounded. This indicates that the thickness of alluvium is < few 10s cm and the bedrock is surfacing.	angular fragments at 0 to 60 cm with mixed lithologies varying from serpentinised harzburgite to dunite.	Serpentinization, oxidation, carbonation in veins	EM			Microcrystalline	Medium grained	NN	NN	
5057	5	B	1	1	3109380	2	50		0.500	0.500	OPHIO	Dunite	NN		Other	Disrupted by drilling	3	>90%	Irregular network of black serp veins (2-5 mm thick in dykes). 1 mm white carb veins dip at ~45 deg while finer vein network is irregular. Euhedral crystals of carb are visible in voids in some veins.	carb veins exploit planes of weakness at dyke contacts and in older serp veins.	Serpentinised dunite with altered gabbroic dykes at 79 to 81 and 88 to 91	Serpentinisation, oxidation, carbonation in veins and in bulk rock	EM	JN		Microcrystalline	Medium grained	NN	NN	
5057	5	B	1	2	3109382	1	0		0.910	0.910	OPHIO	Dunite	NN		Disrupted by drilling	Other	4	>90%	Serp mesh texture cross-cut by later, < 0.2 mm conjugate set of black vein.	0.2 mm white carb veins steep to subvertical. Dyke is shallow dipping.open cracks at top and bottom of unit. From 11 cm the dunite is fragmented in angular clasts with the same characteristics as above.	Serp dunite with altered gabbroioc dyke at 9 to 10 cm.	Serpentinisation, carbonation in veins and layered oxidation around serp area. Dyke is exploited by carb vein > 5 mm thick.	EM	JN		Microcrystalline	Medium grained	NN	NN	
5057	5	B	1	2	3109382	2	28		1.190	1.190	OPHIO	Dunite	NN		Disrupted by drilling	Continuous	4	>90%			MICROBIO SAMPLE. Serp dunite with a microgabbro dyke	Serp, carb, ox.	EM	JN		Microcrystalline	Medium grained	NN	NN	
5057	5	B	1	2	3109382	3	69		1.600	1.600	OPHIO	Dunite	NN		Continuous	Continuous	4	>90%	mesh texture of black veins cross-cut by 0.5 mm black serp veins. Also 2-3 mm veins of waxy green serp at 76 to 80. Network of fine carb veins. Gabbroic dyke exploited by serp and carb veins between 2 to 3 mm thick with euhedral crystals on surface	all serp and carb are irregular and dyke at 69 to 72 cm is dipping ~40 degrees. Open crack at top and bottom of unit	Serp dunite with a gabbroic dyke at 69 to 72 and steeply dipping altered microgabbro.	Serp, carb, ox in veins  and in bulk rock	EM	JN		Microcrystalline	Medium grained	NN	NN	
5057	5	B	1	3	3109394	1	0		1.780	1.780	OPHIO	Dunite	NN		Continuous	Continuous	4	>90%	Irregular network of black serp veins. 5 mm thick carbonate veins at top of unit and at 47 cm with visible cavities/voids; fine white carb vein net throughout the unit.
Dyke at 30 to 40 cm is irregular and with fibrous crystals growing from the centre of a vein in the core and is black around the rim. Oxidation visible around it. Waxy green irregular serp veins at 70 to 75 (1-5 mm).	open cracks at top and bottom of unit and at 28 to 47 cm and at 61 and 80cm. With aorientation from subhorz to subvert.	Serp dunite with altered gabbroic dykes at 13 cm, 11 to 24 cm, at 24 to 25 cm, 30 to 40 cm. Mesh serp texture more pronounced at top of unit (0-15 cm).	Serp, carb and ox. Oxidation decreases progressively down the unit.	EM	JN		Microcrystalline	Medium grained	NN	NN	
5057	5	B	2	1	3109398	1	0		2.700	2.700	OPHIO	Dunite	NN		Continuous	Continuous	4	>90%	irregular network of black veins. White carb veins with vugs with euhedral crystals of sub mm size at 6 (3 mm thick), at 36 cm (3-4 mm with green serp rim) and at 52cm (1-2 mm thick).	very high carb vein intensity throughout unit.	Serp dunite	serp, carb and lesser ox. A mineral of colour from pale green to pale pink is present at 42 to 48 cm. it does not fizz when heated with a flame and it is in part cataclased to clasts of 5 to 10 mm size.	EM	JN		Microcrystalline	Medium grained	NN	NN	
5057	5	B	2	2	3109400	1	0		3.250	3.250	OPHIO	Dunite	NN		Continuous	Continuous	4	>90%	Irregular black serpentine veins network. Waxy green serpentine veins (1 to 4 mm thick) at 6 cm, 16cm, 18cm (alterned black, brown and waxy green veins). Fine white carbonate veins (~1 mm thick) in all the unit.	Open crack at the top. Green serpentine veins horizontal to vertical. Fine carbonate veins dominantly sub-vertical and some sub-horizontal.	Serpentinized dunite	Serpentinized, more oxidized from the top to 8 cm	JN	EM		Microcrystalline	Medium grained	NN	NN	
5057	5	B	2	2	3109400	2	27		3.520	3.520	OPHIO	Dunite	NN		Continuous	Continuous	3	>90%	Fine carbonate veins in all the unit		MICROBIO SAMPLE. Serp. Dunite	Serpentinized and altered.	JN	EM		Microcrystalline	Medium grained	NN	NN	
