image_name,fracture_fracton,PnS2_sum,PnP3H_sum,PnP3V_sum,PnP4_sum,PnP6V_sum,PnL_sum,FnS2_sum,FnP3H_sum,FnP3V_sum,FnP4_sum,FnP6V_sum,FnL_sum
CS_5057_5_B_100_1_1,0.1419,1.5622,0.3115,0.3007,0.339,0.2203,0.6477,4.5559,1.1167,1.0127,2.1896,1.5519,4.2462
CS_5057_5_B_100_2_1,0.1072,1.0188,0.1972,0.1942,0.217,0.1458,0.379,4.6415,1.2922,1.3147,1.9689,1.3653,4.424
CS_5057_5_B_100_3_1,0.1217,1.3518,0.27,0.2598,0.3058,0.1937,0.5315,5.7224,1.4733,1.2475,2.4233,1.5921,5.5407
CS_5057_5_B_100_4_1,0.144,2.5058,0.6175,0.6338,0.7636,0.4234,1.1836,11.9233,3.1987,3.5621,4.5616,2.9474,11.2353
CS_5057_5_B_101_1_1,0.1001,0.9949,0.1841,0.1702,0.2093,0.1386,0.4055,5.4883,1.2244,1.1655,2.0042,1.3828,5.3797
CS_5057_5_B_101_2_1,0.076,0.5962,0.1216,0.1236,0.1422,0.0995,0.2637,4.3759,1.4167,1.1544,1.8757,1.3146,4.2439
CS_5057_5_B_101_3_1,0.0663,0.6484,0.1522,0.1669,0.1848,0.1228,0.3333,6.9156,2.138,2.2674,2.7963,1.859,6.8156
CS_5057_5_B_101_4_1,0.0797,1.1296,0.2687,0.2794,0.318,0.1808,0.5029,11.0725,3.1607,3.2798,3.9883,2.278,10.5795
CS_5057_5_B_102_1_1,0.1005,1.1769,0.2367,0.2254,0.2457,0.1504,0.4382,7.4386,1.9437,1.9697,2.3647,1.5006,7.011
CS_5057_5_B_102_2_1,0.1089,1.0846,0.2416,0.2346,0.2818,0.1846,0.4877,5.0738,1.7428,1.7613,2.5524,1.7027,4.8874
CS_5057_5_B_102_3_1,0.0759,0.7778,0.1913,0.195,0.2507,0.1645,0.4855,6.9753,2.343,2.3413,3.3125,2.1743,6.6921
CS_5057_5_B_102_4_1,0.0995,0.8629,0.1765,0.1738,0.2071,0.1402,0.3789,4.105,1.3352,1.2559,2.055,1.4127,4.1092
CS_5057_5_B_103_1_1,0.1083,1.1075,0.2387,0.2399,0.2733,0.1745,0.4847,5.3937,1.5849,1.7376,2.5098,1.6174,5.3273
